ID,Distance,Date,SellerG,Propertycount,Car,Method,CouncilArea,Suburb,Bathroom,Regionname,Address,Type,Postcode,BuildingArea,Lattitude,Bedroom2,Landsize,YearBuilt,Longtitude,Rooms,Price
2468,9.1,13/05/2017,Williams,984.0,2.0,S,Hobsons Bay City Council,South Kingsville,2.0,Western Metropolitan,7A Brunel St,t,3015.0,,-37.8287,3.0,148.0,,144.8705,3.0,815000.0
2469,14.7,10/03/2018,hockingstuart,15542.0,2.0,PI,Wyndham City Council,Point Cook,2.0,Western Metropolitan,3 Ivory Av,h,3030.0,180.0,-37.91013,4.0,448.0,2010.0,144.74066000000002,4.0,640000.0
2470,5.5,19/11/2016,Harrington,11364.0,1.0,S,Darebin City Council,Northcote,,Northern Metropolitan,24 Barry St,h,3070.0,143.0,-37.7799,3.0,407.0,1900.0,144.9937,3.0,1715000.0
2471,13.9,10/09/2016,hockingstuart,10969.0,,S,Glen Eira City Council,Bentleigh East,,Southern Metropolitan,1/57 Latham St,h,3165.0,,,,,,,3.0,597000.0
2472,8.0,27/11/2016,Nelson,9264.0,1.0,S,Moonee Valley City Council,Essendon,1.0,Western Metropolitan,2/7 Graves St,u,3040.0,135.0,-37.7399,3.0,862.0,1970.0,144.8964,3.0,872000.0
2473,14.3,22/07/2017,Jellis,10999.0,2.0,S,Manningham City Council,Doncaster East,3.0,Eastern Metropolitan,45 Elizabeth St,h,3109.0,203.0,-37.792229999999996,4.0,417.0,1980.0,145.14606,4.0,1385000.0
2474,7.8,9/12/2017,Miles,5549.0,,VB,Banyule City Council,Ivanhoe,,Eastern Metropolitan,4/54 Myrtle St,u,3079.0,,,,,,,2.0,490000.0
2475,29.8,26/08/2017,YPA,4718.0,1.0,S,Melton City Council,Melton South,1.0,Western Victoria,1 Fraser St,h,3338.0,105.0,-37.69891,3.0,649.0,1975.0,144.57645,3.0,395000.0
2476,10.5,14/10/2017,Barry,6763.0,2.0,S,Brimbank City Council,Sunshine West,1.0,Western Metropolitan,149 Hall St,h,3020.0,133.0,-37.79003,3.0,664.0,1970.0,144.79651,3.0,765000.0
2477,9.2,19/11/2016,Jas,3873.0,2.0,SP,Maribyrnong City Council,Maidstone,1.0,Western Metropolitan,38 Suffolk St,h,3012.0,,-37.7909,3.0,492.0,,144.8777,3.0,930000.0
2478,2.8,18/03/2017,Elite,17496.0,1.0,VB,Melbourne City Council,Melbourne,1.0,Northern Metropolitan,3301/288 Spencer St,u,3000.0,92.0,-37.8138,2.0,0.0,,144.952,2.0,650000.0
2479,5.6,20/05/2017,Jellis,10331.0,1.0,S,Boroondara City Council,Kew,1.0,Southern Metropolitan,8/48 Derby St,u,3101.0,,-37.8018,2.0,0.0,1960.0,145.0376,2.0,643000.0
2480,2.3,3/09/2016,Nelson,6821.0,1.0,SP,Melbourne City Council,North Melbourne,1.0,Northern Metropolitan,208/150 Peel St,u,3051.0,,-37.8044,1.0,0.0,,144.9566,1.0,491000.0
2481,8.8,8/10/2016,Ray,14577.0,1.0,S,Darebin City Council,Preston,1.0,Northern Metropolitan,6 Emerald St,h,,,-37.7441,2.0,,,145.0183,2.0,775000.0
2482,3.5,3/06/2017,Nelson,3106.0,0.0,S,Melbourne City Council,Carlton North,1.0,Northern Metropolitan,535 Station St,h,3054.0,,-37.783809999999995,2.0,152.0,,144.97608,2.0,1501000.0
2483,5.3,9/09/2017,Jellis,11364.0,,S,Darebin City Council,Northcote,1.0,Northern Metropolitan,35 Clarke St,h,3070.0,,-37.7756,2.0,,,144.99067,2.0,1550000.0
2484,17.4,11/11/2017,Barry,4704.0,1.0,SP,Hume City Council,Meadow Heights,1.0,Northern Metropolitan,92 Rokewood Cr,h,3048.0,,-37.6548,3.0,596.0,,144.9116,3.0,475000.0
2485,5.1,9/09/2017,Jas,2417.0,1.0,S,Maribyrnong City Council,Seddon,3.0,Western Metropolitan,2/42 Station Rd,h,3011.0,,-37.80664,3.0,,2003.0,144.88773,3.0,1228000.0
2486,11.2,25/02/2017,Barry,21650.0,3.0,S,Darebin City Council,Reservoir,2.0,Northern Metropolitan,33 Edwardes St,h,3073.0,,-37.7164,3.0,486.0,,145.0048,3.0,810000.0
2487,15.5,12/08/2017,Barry,6202.0,2.0,S,Manningham City Council,Templestowe,2.0,Eastern Metropolitan,67 Hawtin St,h,3106.0,167.0,-37.758070000000004,4.0,646.0,1980.0,145.13478,4.0,1205000.0
2488,13.9,29/04/2017,Buxton,10969.0,2.0,S,Glen Eira City Council,Bentleigh East,3.0,Southern Metropolitan,76 Wingate St,h,3165.0,,-37.9362,3.0,604.0,1960.0,145.0663,3.0,1205000.0
2489,11.8,8/10/2016,hockingstuart,2079.0,2.0,PI,Boroondara City Council,Mont Albert,3.0,Eastern Metropolitan,3 Gilbert St,h,3127.0,,-37.8145,5.0,424.0,,145.1131,5.0,1955000.0
2490,14.6,7/11/2016,C21,2555.0,4.0,S,Kingston City Council,Moorabbin,3.0,Southern Metropolitan,38 Royena Rd,h,3189.0,159.0,-37.9382,4.0,581.0,1960.0,145.0577,4.0,1000000.0
2491,19.6,9/09/2017,Barry,10926.0,2.0,S,Whittlesea City Council,Epping,2.0,Northern Metropolitan,11 Northumberland Dr,h,3076.0,148.0,-37.64372,3.0,535.0,1970.0,145.03761,3.0,641000.0
2492,1.8,22/05/2016,Woodards,6786.0,1.0,PI,Melbourne City Council,Carlton,2.0,Northern Metropolitan,205/37 Palmerston St,u,3053.0,67.0,-37.7969,2.0,0.0,2013.0,144.9742,2.0,600000.0
2493,4.6,16/09/2017,Jellis,7717.0,,S,Stonnington City Council,Prahran,2.0,Southern Metropolitan,9 Chatsworth Rd,h,3181.0,,-37.85283,3.0,,,145.00632,3.0,2085000.0
2494,18.0,6/01/2018,Barry,5556.0,2.0,PI,Brimbank City Council,Hillside,3.0,Western Metropolitan,1 Stonybrook Bvd,h,3037.0,,-37.690090000000005,4.0,,,144.73238,4.0,855000.0
2495,5.0,11/11/2017,Wilson,13240.0,1.0,S,Port Phillip City Council,St Kilda,2.0,Southern Metropolitan,7 Irymple Av,h,3182.0,190.0,-37.869,3.0,263.0,1920.0,144.9865,3.0,2102000.0
2496,15.5,16/09/2017,Buxton,3692.0,2.0,S,Kingston City Council,Oakleigh South,3.0,South-Eastern Metropolitan,9 Glennie Av,h,3167.0,,-37.92899,5.0,,,145.08346,5.0,1361000.0
2497,12.9,23/09/2017,Nelson,1071.0,2.0,S,Moreland City Council,Gowanbrae,2.0,Western Metropolitan,3 Orchid Ct,h,3043.0,,-37.7009,3.0,,,144.90053,3.0,845000.0
2498,2.7,25/11/2017,Jellis,14887.0,,S,Melbourne City Council,,,Southern Metropolitan,5/41 Caroline St,u,3141.0,,,,,,,2.0,1075000.0
2499,9.8,12/06/2016,Barry,588.0,2.0,VB,Moonee Valley City Council,Essendon West,3.0,Western Metropolitan,1/410 Buckley St,t,3040.0,,-37.7535,3.0,242.0,2013.0,144.8868,3.0,800000.0
2500,,16/07/2016,Sweeney,7570.0,1.0,PI,Maribyrnong City Council,Footscray,1.0,Western Metropolitan,4/97 Cowper St,u,3011.0,,-37.8053,1.0,0.0,1970.0,144.9029,1.0,275000.0
2501,13.5,27/06/2016,Jellis,6763.0,2.0,SP,Brimbank City Council,Sunshine West,1.0,Western Metropolitan,1/40 Warmington Rd,h,3020.0,114.0,-37.8018,3.0,367.0,1970.0,144.8246,3.0,305000.0
2502,14.0,8/07/2017,hockingstuart,4294.0,1.0,S,Hume City Council,Broadmeadows,1.0,Northern Metropolitan,48 Walsh St,h,3047.0,71.0,-37.6886,3.0,341.0,1965.0,144.92281,3.0,386000.0
2503,7.2,28/10/2017,hockingstuart,4898.0,,SP,Glen Eira City Council,Elsternwick,,Southern Metropolitan,5/41 Nepean Hwy,u,3185.0,,,,,,,1.0,380000.0
2504,6.4,19/08/2017,Sweeney,5058.0,5.0,S,Maribyrnong City Council,West Footscray,1.0,Western Metropolitan,9 Sredna St,h,3012.0,98.0,-37.80048,3.0,,,144.8612,3.0,805000.0
2505,2.6,18/06/2016,Biggin,14949.0,0.0,S,Yarra City Council,Richmond,1.0,Northern Metropolitan,28 Corsair St,h,3121.0,,-37.8226,2.0,170.0,1910.0,145.0064,2.0,1145000.0
2506,8.8,26/08/2017,William,2674.0,1.0,S,Banyule City Council,Heidelberg West,1.0,Eastern Metropolitan,81 Ramu Pde,h,3081.0,,-37.736290000000004,3.0,466.0,,145.04017,3.0,520000.0
2507,20.6,30/09/2017,Raine,5833.0,2.0,S,Hume City Council,Roxburgh Park,2.0,Northern Metropolitan,14 Stainsby Cr,h,3064.0,225.0,-37.63665,4.0,,1995.0,144.92976000000002,4.0,591000.0
2508,11.2,26/07/2016,Ray,21650.0,,SP,Darebin City Council,Reservoir,,Northern Metropolitan,2/170 Spring St,t,3073.0,,,,,,,2.0,541000.0
2509,9.7,7/05/2016,Jellis,5682.0,,VB,Boroondara City Council,Balwyn,,Southern Metropolitan,89 Yarrbat Av,h,3103.0,,,,,,,5.0,4350000.0
2510,24.7,17/03/2018,Del,10894.0,2.0,S,Greater Dandenong City Council,Dandenong,1.0,South-Eastern Metropolitan,3 Aratula St,h,3175.0,172.0,-37.984559999999995,3.0,1034.0,1960.0,145.22401000000002,3.0,1400000.0
2511,5.3,7/10/2017,hockingstuart,11308.0,,PI,Boroondara City Council,Hawthorn,,Southern Metropolitan,17/28 Wattle Rd,u,3122.0,,,,,,,2.0,430000.0
2512,14.0,15/10/2016,Ray,3224.0,,PI,Monash City Council,Oakleigh,,Southern Metropolitan,1494b Dandenong Rd,t,3166.0,,,,,,,3.0,790000.0
2513,14.0,8/07/2017,YPA,4294.0,1.0,S,Hume City Council,Broadmeadows,1.0,Northern Metropolitan,8 Katandra Cr,h,3047.0,,-37.67197,3.0,629.0,,144.91896,3.0,460000.0
2514,2.7,22/07/2017,Marshall,14887.0,2.0,S,Melbourne City Council,South Yarra,2.0,Southern Metropolitan,10/391 Toorak Rd,u,3141.0,133.0,-37.84018,2.0,0.0,1995.0,145.00265,2.0,1340000.0
2515,3.8,27/11/2016,Greg,8648.0,1.0,S,Melbourne City Council,Port Melbourne,1.0,Southern Metropolitan,334 Howe Pde,h,3207.0,,-37.8366,2.0,347.0,,144.9225,2.0,1180000.0
2516,12.7,17/09/2016,Greg,852.0,,PI,Hobsons Bay City Council,Seaholme,,Western Metropolitan,42a Sussex St,t,3018.0,,,,,,,4.0,1060000.0
2517,7.8,24/06/2017,Jellis,5549.0,2.0,S,Banyule City Council,Ivanhoe,2.0,Eastern Metropolitan,11 Athelstane Gr,h,3079.0,,-37.76356,4.0,778.0,,145.04135,4.0,2380000.0
2518,13.6,27/06/2016,Nelson,1071.0,2.0,SP,Moreland City Council,Gowanbrae,2.0,Western Metropolitan,8 Perth Ct,h,3043.0,213.0,-37.7016,4.0,453.0,2007.0,144.8974,4.0,740000.0
2519,7.5,18/06/2016,,6482.0,2.0,S,Boroondara City Council,Hawthorn East,1.0,Southern Metropolitan,38 Caroline St,h,3123.0,,-37.8292,2.0,287.0,,145.046,3.0,1538000.0
2520,17.9,3/06/2017,Millership,10529.0,,SP,Whittlesea City Council,Mill Park,,Northern Metropolitan,2/18 Farnham Cr,u,3082.0,,,,,,,3.0,455000.0
2521,15.5,1/07/2017,Barry,3656.0,,SP,Brimbank City Council,Keilor Downs,,Western Metropolitan,35 Wimmera Cr,h,3038.0,,,,,,,3.0,595000.0
2522,7.7,24/02/2018,The,8920.0,4.0,S,Boroondara City Council,Camberwell,4.0,Southern Metropolitan,20 Morey St,h,3124.0,209.0,-37.841359999999995,4.0,1071.0,1950.0,145.09452,4.0,2700000.0
2523,11.4,24/02/2018,Buxton,6795.0,2.0,S,Glen Eira City Council,Bentleigh,2.0,Southern Metropolitan,1 Harding St,h,3204.0,158.0,-37.92868,4.0,833.0,1920.0,145.0314,4.0,1390000.0
2524,9.7,24/06/2017,Fletchers,7809.0,,S,Boroondara City Council,Balwyn North,,Southern Metropolitan,36 Viewhill Rd,h,3104.0,,,,,,,4.0,1863000.0
2525,16.3,26/08/2017,Ray,8279.0,2.0,SP,Whittlesea City Council,Lalor,1.0,Northern Metropolitan,1 Ashdown Ct,h,3075.0,,,3.0,418.0,,145.03391000000002,3.0,671000.0
2526,7.9,4/06/2016,Jellis,5549.0,2.0,S,Banyule City Council,Ivanhoe,2.0,Eastern Metropolitan,20 Locksley Rd,h,3079.0,201.0,-37.7727,0.0,1252.0,1920.0,145.0484,4.0,2400000.0
2527,18.0,27/05/2017,Barry,4242.0,2.0,S,Melton City Council,Taylors Hill,2.0,Western Metropolitan,16 Coronation St,h,3037.0,,-37.721990000000005,3.0,684.0,,144.74578,3.0,645000.0
2528,,12/11/2016,hockingstuart,3593.0,,SP,Melbourne City Council,Flemington,,Northern Metropolitan,1/146 Ascot Vale Rd,t,3031.0,,,,,,,2.0,650000.0
2529,6.9,3/12/2016,Nelson,6232.0,1.0,S,Moonee Valley City Council,Moonee Ponds,1.0,Western Metropolitan,5/40 Young St,u,3039.0,63.0,-37.7677,2.0,0.0,2007.0,144.9221,2.0,348000.0
2530,11.2,6/05/2017,Love,21650.0,2.0,S,Darebin City Council,Reservoir,1.0,Northern Metropolitan,83 Whitelaw St,h,3073.0,,-37.711999999999996,2.0,705.0,,145.0205,2.0,852000.0
2531,13.0,15/10/2016,Stockdale,8870.0,,S,Moreland City Council,Glenroy,,Northern Metropolitan,7 Isla Av,h,3046.0,,,,,,,3.0,695000.0
2532,27.2,14/10/2017,Barry,5262.0,2.0,S,Wyndham City Council,Wyndham Vale,2.0,Western Metropolitan,24 Pelham Cr,h,3024.0,,-37.883520000000004,3.0,400.0,,144.62253,3.0,417000.0
2533,17.9,9/09/2017,O'Brien,9758.0,2.0,S,Bayside City Council,Cheltenham,1.0,Southern Metropolitan,2 Barclay Dr,h,3192.0,,-37.962579999999996,3.0,570.0,,145.08038,3.0,948000.0
2534,12.8,16/04/2016,Nelson,5629.0,3.0,S,Brimbank City Council,Keilor East,2.0,Western Metropolitan,13 Pennington St,h,3033.0,184.0,-37.7452,4.0,708.0,1990.0,144.8652,4.0,835000.0
2535,35.2,3/03/2018,Max,1130.0,2.0,PI,Yarra Ranges Shire Council,Wandin North,2.0,Eastern Victoria,237 Warburton Hwy,h,3139.0,,-37.77,4.0,40500.0,,145.4147,4.0,1150000.0
2536,2.6,4/03/2017,hockingstuart,14949.0,1.0,S,Yarra City Council,Richmond,1.0,Northern Metropolitan,32 Jubilee Pl,h,3121.0,,-37.8126,2.0,80.0,,145.004,2.0,1042500.0
2537,11.2,18/03/2017,Barry,2291.0,,S,Moonee Valley City Council,Niddrie,,Western Metropolitan,40a Jackson St,h,3042.0,,,,,,,3.0,1291000.0
2538,16.6,17/03/2018,YPA,1889.0,0.0,SP,Hume City Council,Campbellfield,1.0,Northern Metropolitan,162A Somerset Rd,h,3061.0,,-37.67823,2.0,361.0,2010.0,144.95911,2.0,385000.0
2539,9.0,13/05/2017,Jellis,3265.0,2.0,VB,,Canterbury,2.0,Southern Metropolitan,36 The Ridge,t,3126.0,,-37.8178,3.0,410.0,,145.0649,3.0,1775000.0
2540,14.7,11/11/2017,OBrien,7082.0,2.0,S,Knox City Council,Wantirna South,2.0,Eastern Metropolitan,6 Matilda Av,h,3152.0,124.0,-37.8674,3.0,687.0,1985.0,145.2241,3.0,1050000.0
2541,13.1,21/10/2017,Nelson,5070.0,2.0,PI,Hume City Council,Fawkner,1.0,Northern Metropolitan,1 Palmer St,h,3060.0,,-37.69443,3.0,,,144.9628,3.0,557000.0
2542,9.4,8/07/2017,Greg,5132.0,2.0,PI,Hobsons Bay City Council,Altona North,3.0,Western Metropolitan,46 Chambers Rd,h,3025.0,,-37.83794,5.0,1068.0,,144.84231,5.0,1500000.0
2543,35.4,29/07/2017,hockingstuart,8077.0,2.0,S,Frankston City Council,Seaford,2.0,South-Eastern Metropolitan,18 Catron St,h,3198.0,160.0,-38.10052,4.0,771.0,1965.0,145.13397,4.0,870000.0
2544,14.3,18/11/2017,Jellis,2555.0,,S,Kingston City Council,Moorabbin,,Southern Metropolitan,6/25 Genoa St,u,3189.0,,,,,,,2.0,417000.0
2545,31.2,3/03/2018,Buxton,1989.0,,PI,Kingston City Council,Carrum,,South-Eastern Metropolitan,1/21 Stanley St,t,3197.0,,,,,,,3.0,870000.0
2546,12.0,27/05/2017,Nelson,21650.0,2.0,S,Darebin City Council,Reservoir,1.0,Northern Metropolitan,4 Wattle Gr,h,3073.0,136.0,-37.722159999999995,3.0,627.0,1950.0,144.99381,3.0,860000.0
2547,12.6,26/07/2016,Sweeney,3755.0,1.0,S,Brimbank City Council,Sunshine,1.0,Western Metropolitan,11 Brislington St,h,3020.0,125.0,-37.7843,3.0,351.0,2002.0,144.8392,3.0,679500.0
2548,7.5,25/11/2017,McDonald,1543.0,,S,Moonee Valley City Council,Aberfeldie,,Western Metropolitan,49 Brunel St,h,3040.0,,,,,,,3.0,2015000.0
2549,19.9,7/10/2017,Fletchers,3619.0,2.0,S,Manningham City Council,Ringwood North,2.0,Eastern Metropolitan,51 Tortice Dr,h,3134.0,133.0,-37.7849,3.0,,1980.0,145.24401,3.0,945000.0
2550,15.5,11/11/2017,Nick,3692.0,2.0,PI,Kingston City Council,Oakleigh South,2.0,South-Eastern Metropolitan,14 Voumard St,h,3167.0,,-37.914,2.0,584.0,,145.0948,2.0,1070000.0
2551,2.8,7/05/2016,Marshall,17496.0,,PI,Melbourne City Council,Melbourne,,Northern Metropolitan,1205/480 St Kilda Rd,u,3000.0,,,,,,,3.0,860000.0
2552,10.5,6/01/2018,Douglas,6763.0,10.0,PI,Brimbank City Council,Sunshine West,2.0,Western Metropolitan,47 Bardsley St,h,3020.0,,-37.79207,5.0,980.0,,144.8196,5.0,990000.0
2553,31.7,14/10/2017,hockingstuart,6065.0,2.0,S,Melton City Council,Melton West,2.0,Northern Victoria,11 Edgewood Dr,h,3337.0,173.0,-37.66513,4.0,601.0,2012.0,144.55075,4.0,530000.0
2554,12.1,27/05/2017,Ray,10175.0,,PI,Banyule City Council,Bundoora,,Northern Metropolitan,24b Main Dr,t,3083.0,,,,,,,3.0,650000.0
2555,7.0,16/04/2016,Jellis,6543.0,1.0,S,Maribyrnong City Council,Yarraville,1.0,Western Metropolitan,9 Pearce St,h,3013.0,,-37.8196,3.0,202.0,,144.8839,3.0,955000.0
2556,31.7,1/07/2017,L,14092.0,,S,Hume City Council,Sunbury,,Western Metropolitan,38 Felton Av,h,3429.0,,,,,,,3.0,413000.0
2557,10.7,28/05/2016,Buxton,6938.0,2.0,S,Bayside City Council,Brighton East,1.0,Southern Metropolitan,4 Bruce St,h,3187.0,150.0,-37.9027,4.0,656.0,1930.0,145.0225,4.0,1389000.0
2558,6.3,25/11/2017,Marshall,4836.0,,S,Stonnington City Council,Armadale,,Southern Metropolitan,569 Dandenong Rd,h,3143.0,,,,,,,3.0,1851000.0
2559,3.5,18/11/2017,Greg,8648.0,,S,Melbourne City Council,Port Melbourne,,Southern Metropolitan,120 Clark St,h,3207.0,,,,,,,2.0,1450000.0
2560,10.4,24/06/2017,Barry,2291.0,2.0,S,Moonee Valley City Council,Niddrie,2.0,Western Metropolitan,48 Ida St,h,3042.0,,-37.745490000000004,4.0,650.0,,144.88666,4.0,1315000.0
2561,6.1,3/12/2016,hockingstuart,13240.0,1.0,SP,Port Phillip City Council,St Kilda,1.0,Southern Metropolitan,33/1 St Kilda Rd,u,3182.0,75.0,-37.8573,2.0,0.0,1970.0,144.9825,2.0,575000.0
2562,10.3,29/04/2017,Miles,1651.0,2.0,PI,Banyule City Council,Eaglemont,3.0,Eastern Metropolitan,121 The Righi,h,3084.0,,-37.7605,5.0,1001.0,1930.0,,5.0,2710000.0
2563,11.4,3/09/2016,Ray,7822.0,2.0,S,Glen Eira City Council,Carnegie,1.0,Southern Metropolitan,1/60 Moonya Rd,u,3163.0,96.0,-37.897,3.0,0.0,1989.0,145.0623,3.0,820000.0
2564,5.2,27/06/2016,Nelson,11918.0,1.0,PI,Moreland City Council,Brunswick,1.0,Northern Metropolitan,11 William St,t,3056.0,111.0,-37.7611,2.0,55.0,2012.0,144.9622,3.0,705000.0
2565,12.8,28/10/2017,Douglas,1281.0,2.0,VB,Brimbank City Council,Ardeer,1.0,Western Metropolitan,174 Forrest St,h,3022.0,100.0,-37.78281,3.0,400.0,,144.80403,3.0,480000.0
2566,2.6,16/04/2016,Jellis,14949.0,2.0,S,Yarra City Council,Richmond,3.0,Northern Metropolitan,29 Bennett St,h,3121.0,120.0,-37.8126,3.0,168.0,1915.0,145.0064,3.0,1088000.0
2567,13.9,27/11/2016,Nick,10969.0,2.0,S,Glen Eira City Council,Bentleigh East,1.0,Southern Metropolitan,18 Patricia St,h,3165.0,144.0,-37.9251,3.0,596.0,1960.0,145.0771,3.0,1020000.0
2568,6.4,11/11/2017,Compton,3873.0,1.0,SP,Maribyrnong City Council,Maidstone,2.0,Western Metropolitan,6 Havelock St,h,3012.0,118.0,-37.7862,3.0,335.0,1940.0,144.8798,,875000.0
2569,11.2,22/08/2016,Marshall,10579.0,1.0,PI,Bayside City Council,Brighton,2.0,Southern Metropolitan,3/18 William St,u,3186.0,,,3.0,,,145.0005,3.0,835000.0
2570,19.9,12/08/2017,Carter,7785.0,1.0,S,Maroondah City Council,Ringwood,1.0,Eastern Metropolitan,1/14 Paxton St,u,3134.0,,-37.804359999999996,2.0,306.0,,145.23338999999999,2.0,655000.0
2571,13.8,27/05/2017,Hodges,5454.0,2.0,SP,Bayside City Council,Hampton,2.0,Southern Metropolitan,28 The Avenue,h,3188.0,200.0,-37.931670000000004,4.0,726.0,1925.0,145.00134,4.0,2550000.0
2572,13.9,28/05/2016,Buxton,10969.0,2.0,PI,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,,t,3165.0,,-37.9213,3.0,209.0,,145.0565,4.0,1120000.0
2573,8.7,3/12/2016,Nelson,4918.0,2.0,SP,Maribyrnong City Council,Maribyrnong,2.0,Western Metropolitan,25 Cedar Dr,h,3032.0,,-37.774,3.0,392.0,,144.8744,3.0,870000.0
2574,12.2,29/04/2017,Buxton,2894.0,,SP,Monash City Council,Ashwood,,Southern Metropolitan,1/2 Edmonds Av,t,3147.0,,,,,,,3.0,1190000.0
2575,12.9,1/07/2017,YPA,3285.0,,SP,Hume City Council,Gladstone Park,,Western Metropolitan,4 Ellesmere Cr,h,3043.0,,,,,,,3.0,650000.0
2576,11.2,6/01/2018,Barry,8870.0,4.0,SP,Moreland City Council,Glenroy,1.0,Northern Metropolitan,73 Tarana Av,h,3046.0,,-37.71031,4.0,660.0,,144.90403999999998,4.0,801000.0
2577,4.6,18/11/2017,Gary,4380.0,,VB,Port Phillip City Council,Windsor,,Southern Metropolitan,2/24 The Avenue,u,3181.0,,,,,,,1.0,300000.0
2578,6.5,14/05/2016,Harcourts,8870.0,1.0,SP,Darebin City Council,Thornbury,1.0,Northern Metropolitan,1/219 Raleigh St,u,3071.0,48.0,-37.7603,1.0,612.0,1975.0,145.0165,1.0,332000.0
2579,31.7,11/11/2017,Barry,14092.0,,S,Hume City Council,Sunbury,1.0,Western Metropolitan,8 Muirfield Dr,h,3429.0,,-37.5836,3.0,736.0,,144.7549,3.0,436000.0
2580,3.8,4/03/2017,hockingstuart,8648.0,2.0,VB,Melbourne City Council,Port Melbourne,2.0,Southern Metropolitan,802/127 Beach St,u,3207.0,,-37.8399,2.0,0.0,,144.9287,2.0,1250000.0
2581,13.8,14/10/2017,Buxton,5454.0,1.0,S,Bayside City Council,Hampton,2.0,Southern Metropolitan,3 Banks Av,h,3188.0,197.0,-37.94311,3.0,544.0,1920.0,145.01272,3.0,2095000.0
2582,12.1,27/05/2017,Ray,10175.0,2.0,PI,Banyule City Council,Bundoora,2.0,Northern Metropolitan,16 Cranberry Pl,h,3083.0,261.0,-37.68155,4.0,520.0,2004.0,145.04945,4.0,880000.0
2583,5.3,16/09/2017,Nelson,11364.0,,PI,Darebin City Council,Northcote,1.0,Northern Metropolitan,215 Westgarth St,h,3070.0,,-37.78253,2.0,,,145.01006,2.0,730000.0
2584,7.0,8/04/2017,Jas,6543.0,1.0,SP,Maribyrnong City Council,Yarraville,1.0,Western Metropolitan,14 Lennox St,h,3013.0,,-37.8157,3.0,248.0,,144.8925,3.0,1131500.0
2585,14.6,1/07/2017,Barry,1624.0,2.0,S,Banyule City Council,Lower Plenty,2.0,Eastern Metropolitan,13 Anthony Cl,h,3093.0,,-37.72399,5.0,725.0,,145.12069,5.0,880000.0
2586,8.5,25/11/2017,Walshe,7485.0,,PI,Moreland City Council,Pascoe Vale,,Northern Metropolitan,7/1 Heath St,t,3044.0,,,,,,,3.0,540000.0
2587,8.4,3/12/2016,Village,5498.0,2.0,S,Hobsons Bay City Council,Newport,2.0,Western Metropolitan,45 Milford St,t,3015.0,179.0,-37.8477,3.0,283.0,2011.0,144.8753,3.0,962000.0
2588,20.5,3/03/2018,HAR,7969.0,2.0,S,Whittlesea City Council,South Morang,2.0,Northern Metropolitan,26 Kingfisher Pl,h,3752.0,184.0,-37.65766,4.0,652.0,1995.0,145.09505,4.0,730000.0
2589,7.5,22/05/2016,hockingstuart,6482.0,,PI,Boroondara City Council,Hawthorn East,,Southern Metropolitan,218/12 Albert St,u,3123.0,,,,,,,1.0,375000.0
2590,16.1,26/08/2017,Darren,8524.0,2.0,VB,Banyule City Council,Greensborough,3.0,Northern Metropolitan,17 Glenwood Dr,h,3088.0,380.0,-37.684020000000004,6.0,,1990.0,145.11015,6.0,1050000.0
2591,13.8,6/01/2018,Jellis,10969.0,3.0,S,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,1 Millis Av,h,3165.0,,-37.92885,4.0,,1950.0,145.06422,4.0,1420000.0
2592,27.0,16/09/2017,Ray,3906.0,0.0,S,Kingston City Council,Chelsea,2.0,South-Eastern Metropolitan,272 Station St,h,3196.0,143.0,-38.045,4.0,,1960.0,145.11301,4.0,916500.0
2593,4.6,30/07/2016,RT,7217.0,1.0,S,Stonnington City Council,Toorak,1.0,Southern Metropolitan,3/625 Toorak Rd,u,3142.0,,-37.8427,2.0,0.0,1930.0,145.0242,2.0,920000.0
2594,10.2,14/10/2017,Marshall,3052.0,2.0,S,Boroondara City Council,Ashburton,2.0,Southern Metropolitan,6 Amery St,h,3147.0,233.0,-37.86688,4.0,572.0,1930.0,145.06925,4.0,2005000.0
2595,6.7,25/11/2017,Re,3445.0,,PI,Darebin City Council,Coburg North,,Northern Metropolitan,13 Pallett St,h,3058.0,,,,,,,3.0,750000.0
2596,13.8,27/05/2017,Buxton,10969.0,,S,Glen Eira City Council,Bentleigh East,,Southern Metropolitan,8b Marlborough St,t,3165.0,,,,,,,4.0,1300000.0
2597,16.7,8/07/2017,Harcourts,15321.0,1.0,S,Monash City Council,Glen Waverley,2.0,Eastern Metropolitan,1 Dorset St,h,3150.0,116.0,-37.89813,3.0,839.0,1970.0,145.14652,3.0,1070000.0
2598,8.4,9/12/2017,McGrath,14577.0,2.0,SP,Darebin City Council,Preston,,Northern Metropolitan,46 Erin St,h,3072.0,232.0,-37.745870000000004,4.0,424.0,2013.0,144.99245,4.0,1500000.0
2599,16.0,24/02/2018,Buxton,4794.0,,S,Bayside City Council,Highett,,Southern Metropolitan,313/75 Graham Rd,u,3190.0,,,,,,,2.0,623000.0
2600,2.8,7/05/2016,Jellis,17496.0,,S,Melbourne City Council,Melbourne,,Northern Metropolitan,807/582 St Kilda Rd,u,3000.0,,,,,,,3.0,1275000.0
2601,5.0,1/07/2017,Rounds,13240.0,1.0,VB,Port Phillip City Council,St Kilda,1.0,,7/27 Robe St,u,3182.0,49.0,-37.86476,2.0,881.0,1993.0,144.97826,2.0,365000.0
